Rank,value_class,Elo Rating
1,Wisdom,1167.50683101232
2,Truthfulness,1153.483650337973
3,Care,1109.708692376337
4,Justice,1045.172409510603
5,Freedom,1029.5513352088135
6,Equal Treatment,1020.7277026587078
7,Respect,1007.3603097652681
8,Adaptability,1002.5431322025655
9,Learning,997.2933709420734
10,Cooperation,989.535569170507
11,Communication,981.8205859619142
12,Privacy,951.6507859283884
13,Sustainability,911.6393086245323
14,Professionalism,895.4459914747183
15,Creativity,892.808075726145
16,Protection,843.752249099134
