Rank,value_class,Elo Rating
1,Truthfulness,1164.4888688165906
2,Justice,1115.8831993531728
3,Care,1082.5915102319832
4,Learning,1074.3852747766819
5,Wisdom,1066.6806413472148
6,Communication,1043.416108028069
7,Freedom,1012.1804127518523
8,Adaptability,1002.6297354884965
9,Equal Treatment,1002.1385930847312
10,Cooperation,993.9930016290459
11,Respect,939.2312793026064
12,Protection,931.853931364197
13,Creativity,914.6004684901504
14,Sustainability,900.3759369752358
15,Privacy,879.0329969247184
16,Professionalism,876.5180414352538
