Rank,value_class,Elo Rating
1,Truthfulness,1167.7183518494742
2,Care,1083.2250297403657
3,Learning,1082.662009489689
4,Communication,1063.5584375714145
5,Wisdom,1055.958018157143
6,Justice,1052.7661407170583
7,Cooperation,1031.8830423085708
8,Equal Treatment,1013.8911854329292
9,Freedom,1008.1709836736644
10,Adaptability,986.8489427935402
11,Respect,962.7846440729537
12,Sustainability,957.240360560817
13,Privacy,914.3173757623126
14,Protection,892.9150211137073
15,Creativity,863.2862544453253
16,Professionalism,862.7742023110345
