Rank,value_class,Elo Rating
1,Truthfulness,1164.9256914891084
2,Care,1145.9696229396548
3,Communication,1114.9198526385221
4,Wisdom,1099.5256584390072
5,Justice,1079.8985082248507
6,Learning,1072.5578129609664
7,Cooperation,986.8528001772509
8,Freedom,983.9821180913355
9,Adaptability,978.6501895936059
10,Respect,957.1499809916314
11,Protection,940.2017361003304
12,Sustainability,932.8710112053734
13,Equal Treatment,930.1770855514617
14,Privacy,887.3230871442248
15,Creativity,878.9352262259762
16,Professionalism,846.0596182267001
