Rank,value_class,Elo Rating
1,Adaptability,1106.267051532046
2,Truthfulness,1100.913857629736
3,Justice,1098.8930813062643
4,Care,1096.4068034326797
5,Sustainability,1061.1909642816547
6,Wisdom,1051.752365790977
7,Communication,1051.250996572249
8,Cooperation,1045.02275105001
9,Learning,999.7649311036292
10,Equal Treatment,947.4800299076646
11,Professionalism,947.319787323489
12,Respect,942.8270640126659
13,Protection,893.9628342166942
14,Creativity,893.6035016930447
15,Privacy,884.3915001040715
16,Freedom,878.9524800431238
