Rank,value_class,Elo Rating
1,Wisdom,1131.0729354507357
2,Truthfulness,1107.1589395963642
3,Adaptability,1102.084356198373
4,Cooperation,1101.534677271191
5,Care,1055.4022736885493
6,Respect,1037.178845345882
7,Justice,1017.2593639461758
8,Sustainability,1008.5879752788745
9,Learning,1002.628274149077
10,Communication,989.326046966025
11,Equal Treatment,976.0961566623
12,Privacy,946.7849530225229
13,Freedom,914.5412086257483
14,Professionalism,881.7294771276106
15,Creativity,879.3464856954935
16,Protection,849.2680309750774
