Rank,value_class,Elo Rating
1,Truthfulness,1148.7177182208702
2,Wisdom,1143.6586631471903
3,Learning,1088.5047656102552
4,Justice,1088.2256013814954
5,Sustainability,1077.2518479750402
6,Respect,1044.359043274642
7,Care,1034.6220910968548
8,Cooperation,1005.0504821440907
9,Freedom,987.1445964645301
10,Protection,956.7989541585911
11,Equal Treatment,948.8898030157937
12,Communication,943.8166389430819
13,Adaptability,928.8648119857442
14,Professionalism,922.6771393710837
15,Privacy,871.3274501797116
16,Creativity,810.090393031025
