Rank,value_class,Elo Rating
1,Truthfulness,1112.4853065873117
2,Sustainability,1085.527179166836
3,Cooperation,1080.159040692361
4,Care,1077.2906803044393
5,Justice,1075.1553151109467
6,Wisdom,1064.2433907614388
7,Adaptability,1024.0280191953625
8,Freedom,1005.4820026816842
9,Professionalism,981.4368096426524
10,Learning,973.1212151740376
11,Respect,967.594628282119
12,Communication,944.2241985334326
13,Equal Treatment,938.9773230169882
14,Creativity,927.7644116263542
15,Protection,914.7014129155438
16,Privacy,827.8090663084932
