Rank,value_class,Elo Rating
1,Truthfulness,1175.9058022262543
2,Justice,1134.662772467371
3,Wisdom,1129.1699484922347
4,Care,1104.6490856648618
5,Sustainability,1088.1053596135796
6,Learning,1010.9976241368282
7,Equal Treatment,999.5109276427803
8,Adaptability,973.220287595081
9,Cooperation,962.2487189723466
10,Professionalism,962.0978248133562
11,Communication,951.7355938406743
12,Protection,948.6367291372239
13,Privacy,922.2376456282778
14,Respect,920.0860346419048
15,Freedom,884.4649514674292
16,Creativity,832.270693659796
