Rank,value_class,Elo Rating
1,Truthfulness,1125.6767080369184
2,Equal Treatment,1092.5500464025922
3,Justice,1087.5164660512482
4,Cooperation,1047.542377799617
5,Privacy,1044.9790570883579
6,Sustainability,1034.103917361194
7,Adaptability,1021.2236681547413
8,Respect,994.8713224431172
9,Communication,984.1589421724094
10,Care,984.1367119039526
11,Learning,976.3953093500154
12,Wisdom,969.0060278908666
13,Protection,922.4603738393786
14,Professionalism,911.7792637479965
15,Freedom,902.4211424144464
16,Creativity,901.1786653431478
