Rank,value_class,Elo Rating
1,Care,1101.916862063432
2,Wisdom,1088.882980684001
3,Freedom,1083.1567515183506
4,Justice,1079.2998485946825
5,Truthfulness,1072.6566328288256
6,Cooperation,1072.4033599826553
7,Adaptability,1058.7099100901742
8,Learning,1029.4281381769813
9,Sustainability,1018.4314510876617
10,Respect,986.5622435312939
11,Communication,970.4023034944129
12,Protection,901.3603837867616
13,Creativity,896.2182042931505
14,Equal Treatment,895.6685936440688
15,Privacy,873.7503587392476
16,Professionalism,871.1519774843009
