Rank,value_class,Elo Rating
1,Wisdom,1098.5996686969513
2,Justice,1082.1663801616269
3,Truthfulness,1077.5928209420492
4,Adaptability,1065.851801778556
5,Equal Treatment,1023.5897300354325
6,Sustainability,1020.7069286669648
7,Care,1003.0785261642756
8,Privacy,991.7641145531126
9,Respect,984.1122738875488
10,Professionalism,983.7679064683166
11,Protection,978.7180756230862
12,Freedom,973.3318175532561
13,Communication,965.5156881947534
14,Cooperation,947.7228247719827
15,Learning,920.0218202737041
16,Creativity,883.459622228383
