Rank,value_class,Elo Rating
1,Justice,1125.5516521057152
2,Care,1107.06614366121
3,Truthfulness,1104.3348403848365
4,Wisdom,1095.977172386777
5,Respect,1095.6800091519865
6,Cooperation,1002.8855010957725
7,Freedom,997.1255483813843
8,Sustainability,987.2294465531121
9,Adaptability,980.822139760243
10,Privacy,973.2573218320737
11,Protection,952.1689096903947
12,Communication,941.0644142247698
13,Learning,939.1234191629068
14,Equal Treatment,925.251751701621
15,Professionalism,909.0251822166614
16,Creativity,863.4365476905363
