Rank,value_class,Elo Rating
1,Care,1161.6926996504017
2,Respect,1134.5269371643344
3,Justice,1134.243821949608
4,Truthfulness,1061.030947840312
5,Wisdom,1060.8319948540995
6,Protection,1056.232271120016
7,Learning,1029.4662096546156
8,Freedom,995.0126881789458
9,Sustainability,976.2244260257712
10,Cooperation,944.0641516675456
11,Equal Treatment,942.1858118622436
12,Communication,935.6395088840615
13,Privacy,926.7124810047108
14,Adaptability,900.8343920992329
15,Professionalism,897.8487485245038
16,Creativity,843.4529095195982
