Rank,value_class,Elo Rating
1,Wisdom,1172.8939541344284
2,Truthfulness,1148.20038476801
3,Justice,1125.730758581792
4,Care,1085.5494539458805
5,Respect,1050.003432133481
6,Adaptability,1018.163424063854
7,Learning,999.9058432429716
8,Sustainability,997.4870845725361
9,Cooperation,986.8778653111543
10,Privacy,952.1286582500825
11,Communication,933.1931866365866
12,Protection,924.7897204343092
13,Freedom,922.3489330398535
14,Equal Treatment,919.6367908441332
15,Professionalism,911.2238134794751
16,Creativity,851.8666965614516
