Rank,value_class,Elo Rating
1,Wisdom,1139.3453349026859
2,Truthfulness,1112.7119129762305
3,Cooperation,1098.738675408658
4,Adaptability,1094.0738840706804
5,Care,1057.8954740176957
6,Sustainability,1027.437153333666
7,Respect,1026.3452900484504
8,Justice,1017.3419321910899
9,Learning,999.885719519093
10,Equal Treatment,983.6506046954833
11,Communication,981.446410352874
12,Privacy,938.7408657859158
13,Freedom,903.8453876258407
14,Professionalism,887.1530173496037
15,Creativity,879.3896710871539
16,Protection,851.9986666348794
