Rank,value_class,Elo Rating
1,Truthfulness,1128.494531618421
2,Justice,1068.6979140699268
3,Sustainability,1063.570336883978
4,Wisdom,1061.784246293136
5,Learning,1061.1170428558803
6,Privacy,1034.2561224189471
7,Respect,1031.9375807366598
8,Adaptability,1013.3605208947929
9,Professionalism,1002.7589563462191
10,Care,981.7415608902727
11,Freedom,965.9370131168425
12,Equal Treatment,963.5344527344439
13,Cooperation,946.6775848542453
14,Communication,933.4264566819786
15,Protection,876.794702222634
16,Creativity,865.9109773816213
