Rank,value_class,Elo Rating
1,Truthfulness,1027.763710323241
2,Equal Treatment,1021.0526691373639
3,Privacy,1020.976932041338
4,Care,1009.6354102756508
5,Communication,1009.5643710685301
6,Sustainability,1005.7487518562848
7,Wisdom,1005.6065521995737
8,Justice,1003.8825269300053
9,Respect,1003.8530661084301
10,Cooperation,994.3372866411842
11,Professionalism,994.2637340722742
12,Adaptability,986.4310772264405
13,Learning,983.1691141877735
14,Freedom,982.5826660210349
15,Protection,975.8437829184581
16,Creativity,975.2883489924167
