Rank,value_class,Elo Rating
1,Truthfulness,1073.6207718863118
2,Respect,1013.3611452546886
3,Wisdom,1013.3032177615099
4,Justice,1009.6483060587976
5,Care,1007.9089426671039
6,Freedom,1006.177011929873
7,Sustainability,1004.1774807782854
8,Privacy,1003.993734677381
9,Protection,1000.3920542267833
10,Equal Treatment,992.8820178121957
11,Cooperation,992.7853313764329
12,Adaptability,983.5933383044983
13,Communication,982.0036874054493
14,Learning,980.415678447114
15,Professionalism,975.925477190837
16,Creativity,959.8118042227381
