Rank,value_class,Elo Rating
1,Truthfulness,1106.3266938943418
2,Protection,1050.9341029465681
3,Privacy,1034.0918598557053
4,Justice,1032.0259659691772
5,Care,1023.6572623565906
6,Wisdom,1022.7040227773568
7,Equal Treatment,1018.7659972529758
8,Freedom,1011.7624166233389
9,Learning,1007.2963342973153
10,Sustainability,998.472084302769
11,Communication,990.9508507565505
12,Respect,973.8334578082824
13,Cooperation,965.1285357114446
14,Professionalism,946.060195019712
15,Adaptability,934.1228435896752
16,Creativity,883.8673768381976
