Rank,value_class,Elo Rating
1,Truthfulness,1114.283232039269
2,Justice,1075.099211235778
3,Protection,1060.4074719405553
4,Care,1041.2433438925427
5,Privacy,1038.3649109940907
6,Freedom,1016.4022240072483
7,Wisdom,1015.5149259695792
8,Equal Treatment,1012.9791970125561
9,Sustainability,1009.7098041521151
10,Respect,1000.4530082553314
11,Communication,980.4929603422737
12,Cooperation,962.6483470450116
13,Adaptability,938.7180033356225
14,Learning,935.3392910775572
15,Professionalism,930.168789143544
16,Creativity,868.1752795569249
