Rank,value_class,Elo Rating
1,Truthfulness,1091.4884943311495
2,Justice,1050.524508253566
3,Care,1039.1076920478831
4,Protection,1026.365380906824
5,Wisdom,1024.9352878158609
6,Respect,1022.089163070081
7,Freedom,1012.0298191805844
8,Equal Treatment,1008.0338285719969
9,Sustainability,1006.006451422473
10,Privacy,998.3649637752216
11,Learning,979.1912531270532
12,Adaptability,969.6404757184821
13,Communication,965.2143366190024
14,Cooperation,962.7456515853734
15,Creativity,933.1453046602563
16,Professionalism,911.1173889141933
