Rank,value_class,Elo Rating
1,Wisdom,1083.1228378462883
2,Protection,1074.1843044605514
3,Truthfulness,1057.4101666167467
4,Justice,1054.0195115786094
5,Care,1048.8001842022384
6,Sustainability,1029.0018086450132
7,Professionalism,1022.4415897705113
8,Adaptability,1016.7802554582938
9,Respect,1000.0597744287677
10,Equal Treatment,982.1274329077168
11,Privacy,969.3845106726039
12,Freedom,954.9349566181809
13,Learning,946.0011734894754
14,Communication,940.8009676650307
15,Cooperation,939.9759028130455
16,Creativity,880.9546228269265
