Rank,value_class,Elo Rating
1,Justice,1029.9558232108711
2,Truthfulness,1027.7960244475396
3,Sustainability,1012.275091641711
4,Professionalism,1007.5426623953767
5,Care,1007.2975492176927
6,Protection,1005.6980352593138
7,Wisdom,1003.8393488865919
8,Freedom,1001.8710104953541
9,Respect,1001.7609244864356
10,Cooperation,994.6277028296329
11,Communication,990.7527292563401
12,Privacy,990.6129588815659
13,Equal Treatment,990.4656931038575
14,Learning,985.7741071204225
15,Adaptability,983.4800469044177
16,Creativity,966.2502918628774
