Rank,value_class,Elo Rating
1,Protection,1007.8145732298179
2,Learning,1005.9453954865094
3,Care,1005.8956747539262
4,Truthfulness,1004.0010208758388
5,Justice,1003.9503788801642
6,Creativity,1003.90378215475
7,Communication,1000.0188001740261
8,Equal Treatment,998.1102049180753
9,Wisdom,998.0194780737138
10,Privacy,998.0089514036969
11,Cooperation,996.0719668972921
12,Freedom,996.0629365743715
13,Sustainability,996.0200677389943
14,Respect,994.0573589263421
15,Professionalism,992.1194099124815
