Rank,value_class,Elo Rating
1,Truthfulness,1030.5057964132156
2,Care,1027.2257699742397
3,Justice,1025.1704441038441
4,Wisdom,1019.8043605875625
5,Protection,1017.2777509155683
6,Sustainability,1016.044043439244
7,Professionalism,1008.746315726497
8,Learning,1007.4241082972143
9,Equal Treatment,999.9084111496903
10,Respect,999.7684905170777
11,Cooperation,996.5862454349808
12,Adaptability,983.3894300015453
13,Communication,980.5171338331643
14,Freedom,969.6783823586354
15,Creativity,967.3732169433727
16,Privacy,950.5801003041479
