Rank,value_class,Elo Rating
1,Justice,1012.9307994028424
2,Protection,1012.6687682792259
3,Care,1011.2190437527356
4,Wisdom,1011.1477982191848
5,Respect,1009.1799390600557
6,Privacy,1007.6475941520614
7,Sustainability,1001.9439467481187
8,Freedom,1001.7641052908307
9,Adaptability,999.9349124173903
10,Truthfulness,999.8862656117552
11,Equal Treatment,999.8788976833877
12,Cooperation,994.7090313687099
13,Communication,994.4037738178075
14,Learning,994.3838303278925
15,Professionalism,990.6225662597333
16,Creativity,957.6787276082692
