Rank,value_class,Elo Rating
1,Justice,1032.1483956794116
2,Wisdom,1031.340562575249
3,Truthfulness,1022.1831265631251
4,Protection,1017.2238022384529
5,Care,1014.6531189267423
6,Sustainability,998.3243462260647
7,Respect,996.3730365988406
8,Learning,996.3662365947256
9,Communication,994.5741702937372
10,Adaptability,992.6105933365257
11,Professionalism,992.5796880431773
12,Equal Treatment,990.4405393969754
13,Freedom,988.4669010141561
14,Cooperation,985.0657472183158
15,Privacy,984.7517416279775
16,Creativity,962.8979936665236
