Rank,value_class,Elo Rating
1,Wisdom,1031.5423394061602
2,Truthfulness,1027.1495807181898
3,Protection,1026.6206765165955
4,Justice,1024.0942624784086
5,Sustainability,1017.1234291458838
6,Care,1015.1792054779652
7,Privacy,998.1809196984207
8,Freedom,994.6940190515004
9,Respect,992.8615120406971
10,Professionalism,992.7354216459775
11,Cooperation,992.6821980463114
12,Adaptability,986.7286806513622
13,Communication,979.4477654451024
14,Equal Treatment,975.1958413350969
15,Learning,973.9978140642311
16,Creativity,971.7663342780976
