Rank,value_class,Elo Rating
1,Protection,1063.2261890396755
2,Justice,1061.1243062766937
3,Wisdom,1043.1283875305658
4,Privacy,1037.6449096801603
5,Truthfulness,1036.4021770046631
6,Care,1023.4997356148887
7,Sustainability,1003.3268531389112
8,Freedom,1003.3089306719927
9,Respect,999.0217444810245
10,Equal Treatment,996.4501331987575
11,Communication,975.2294109045886
12,Adaptability,966.9301044752776
13,Professionalism,966.2923424827462
14,Cooperation,954.471585398816
15,Learning,941.1086971839244
16,Creativity,928.8344929173138
