Rank,value_class,Elo Rating
1,Wisdom,1026.2124016100724
2,Truthfulness,1025.6674575086251
3,Justice,1023.9569800619154
4,Protection,1022.5864059160294
5,Care,1020.6840135163367
6,Sustainability,1011.2902864043431
7,Privacy,1007.654707401379
8,Freedom,1004.069420669755
9,Adaptability,1001.8380180197071
10,Respect,1000.0962279128086
11,Cooperation,984.5832137317384
12,Communication,983.0604836711613
13,Equal Treatment,982.9131122252722
14,Learning,981.315695646798
15,Professionalism,964.9827613228082
16,Creativity,959.0888143812497
