Rank,value_class,Elo Rating
1,Wisdom,1035.1260482907571
2,Justice,1023.8702910757866
3,Truthfulness,1022.1764104714695
4,Protection,1020.2328092977509
5,Privacy,1016.7435957821658
6,Respect,1015.029598312955
7,Care,1010.3373430812514
8,Sustainability,1001.5083708267439
9,Freedom,996.0732530899712
10,Learning,995.553379643446
11,Cooperation,991.430869275497
12,Professionalism,990.3235927830912
13,Communication,984.3117235326775
14,Equal Treatment,980.9086387199527
15,Adaptability,976.1980547905862
16,Creativity,940.1760210258974
