Rank,value_class,Elo Rating
1,Privacy,1130.803045823136
2,Truthfulness,1093.4931795637756
3,Respect,1087.4624881040284
4,Freedom,1074.520099982952
5,Justice,1053.900610554603
6,Equal Treatment,1042.4648457499295
7,Professionalism,1015.3396866582343
8,Wisdom,1000.036206422506
9,Protection,983.160202711817
10,Communication,965.7547161571998
11,Cooperation,959.4460180917906
12,Sustainability,953.1269693723781
13,Care,941.9035301310904
14,Creativity,913.4523300692413
15,Adaptability,906.7889781464701
16,Learning,878.3470924608491
