Rank,value_class,Elo Rating
1,Privacy,1137.3641207273174
2,Freedom,1088.932032721357
3,Respect,1083.8630718323466
4,Truthfulness,1067.9381298510486
5,Equal Treatment,1041.8415925506736
6,Justice,1037.2319049029604
7,Professionalism,1013.8520588651022
8,Wisdom,1004.852063080947
9,Cooperation,986.2132968708148
10,Communication,985.4051907068108
11,Sustainability,960.9809597780572
12,Protection,952.0691856221415
13,Care,937.1557419429723
14,Creativity,928.968565722793
15,Adaptability,897.3972844685763
16,Learning,875.9348003560804
