Rank,value_class,Elo Rating
1,Privacy,1140.7315696246615
2,Freedom,1087.2349740206241
3,Respect,1085.218147763251
4,Truthfulness,1068.385723710484
5,Equal Treatment,1044.6529637621747
6,Justice,1033.9901782309896
7,Professionalism,1010.4723894511596
8,Wisdom,1001.649962954774
9,Communication,984.2333425607302
10,Cooperation,981.0069737499409
11,Sustainability,961.9308538639194
12,Protection,951.8398066743655
13,Care,939.5432972427667
14,Creativity,931.0960118260335
15,Adaptability,898.9102008415974
16,Learning,879.1036037225263
