Rank,value_class,Elo Rating
1,Privacy,1086.8788113579126
2,Respect,1058.302002685055
3,Truthfulness,1056.0329425579828
4,Equal Treatment,1053.9237376627314
5,Justice,1048.2035475314672
6,Freedom,1036.4570331333452
7,Care,1010.8460194408187
8,Protection,1005.1481308153703
9,Wisdom,1003.5586153315779
10,Professionalism,980.7165199331816
11,Cooperation,978.6263405312507
12,Sustainability,963.2584512224448
13,Communication,953.4952840125412
14,Learning,929.2422749494972
15,Adaptability,923.0829206023249
16,Creativity,912.227368232499
