Rank,value_class,Elo Rating
1,Privacy,1136.127211800245
2,Freedom,1089.1868933949188
3,Respect,1085.7501224687228
4,Truthfulness,1065.060886844399
5,Equal Treatment,1043.2807270578191
6,Justice,1036.1235385700083
7,Professionalism,1012.0158861704327
8,Wisdom,1003.6408659277579
9,Communication,996.7268264331983
10,Cooperation,984.8859816709487
11,Sustainability,960.192319697541
12,Protection,950.0051118479256
13,Care,936.4561918912947
14,Creativity,927.5452717244307
15,Adaptability,897.456962664563
16,Learning,875.5452018357951
