Rank,value_class,Elo Rating
1,Privacy,1117.5343453515413
2,Justice,1063.5713538560676
3,Care,1052.8425900369598
4,Protection,1039.303140935845
5,Equal Treatment,1037.6667947897008
6,Truthfulness,1037.4045483490872
7,Respect,1031.881225217101
8,Wisdom,1012.0176161477024
9,Freedom,1000.5403550670771
10,Professionalism,973.6437326660023
11,Sustainability,964.164213083685
12,Cooperation,954.6895212741163
13,Learning,950.8873370762244
14,Communication,938.896667357898
15,Adaptability,925.068673267859
16,Creativity,899.8878855231302
