Rank,value_class,Elo Rating
1,Privacy,1131.778623316053
2,Truthfulness,1123.5163248333527
3,Justice,1118.6512776836853
4,Protection,1055.556158820352
5,Respect,1043.9448694781101
6,Equal Treatment,1040.3555357148896
7,Professionalism,1037.6038875781626
8,Wisdom,1021.6376927283334
9,Freedom,1021.3654278136466
10,Care,1003.1659241483356
11,Cooperation,953.9961119147313
12,Sustainability,941.3743385543016
13,Communication,906.4511169648587
14,Adaptability,903.3491246899792
15,Learning,866.8865309138891
16,Creativity,830.3670548473192
