Rank,value_class,Elo Rating
1,Privacy,1152.2940020109597
2,Justice,1059.6135443349312
3,Truthfulness,1057.899446123767
4,Respect,1057.0808786899952
5,Equal Treatment,1047.2789166648317
6,Freedom,1034.9304788740017
7,Professionalism,1005.9407067578303
8,Cooperation,1001.5627633335855
9,Wisdom,989.0440589763513
10,Protection,986.2670275790556
11,Care,984.1379322908449
12,Sustainability,954.2250583575081
13,Communication,941.7104902563724
14,Creativity,919.7344352590121
15,Adaptability,911.0863193313828
16,Learning,897.1939411595713
