Rank,value_class,Elo Rating
1,Truthfulness,1154.6531847793804
2,Privacy,1114.8539617145739
3,Justice,1104.2499190582937
4,Equal Treatment,1059.6022947416848
5,Protection,1057.8423923067028
6,Respect,1038.7836372560998
7,Professionalism,1032.9879913639713
8,Freedom,1024.6671762239919
9,Wisdom,1023.4094789369607
10,Care,991.5408581717235
11,Cooperation,960.4899968732477
12,Sustainability,950.7775495184235
13,Adaptability,908.9919211780144
14,Learning,886.2506043618176
15,Communication,881.8780897171196
16,Creativity,809.0209437979961
