Rank,value_class,Elo Rating
1,Privacy,1148.068384643752
2,Truthfulness,1122.8885123714592
3,Justice,1106.130377237785
4,Respect,1073.3077521245207
5,Protection,1044.8346324807876
6,Equal Treatment,1041.6889683328657
7,Freedom,1023.325627416777
8,Wisdom,1020.6167735188415
9,Professionalism,1019.1721066977149
10,Care,998.8063581913829
11,Cooperation,973.0546823930308
12,Sustainability,945.1497475745581
13,Adaptability,907.9032630877639
14,Communication,896.9339868253318
15,Learning,868.8053849741704
16,Creativity,809.3134421292568
