model,spearman_rho,spearman_p,kendall_tau,kendall_p,mean_abs_rank_diff,rmse_rank_diff,max_rank_diff,num_values
google__gemma-3-12b-it,-0.19117647058823528,0.47816401281702825,-0.15,0.45028488627204627,5.875,7.115124735378854,15,16
meta-llama__llama-4-maverick,-0.05294117647058824,0.8456104411493658,-0.016666666666666666,0.9646949319332571,5.375,6.689544080129826,15,16
anthropic__claude-sonnet-4.5,-0.049999999999999996,0.8540995521297436,-0.08333333333333334,0.6900950405141305,5.375,6.680194607943694,12,16
google__gemma-3-4b-it,-0.032352941176470584,0.9053195187918449,-0.03333333333333333,0.8943512599699821,5.375,6.623820649745885,14,16
anthropic__claude-sonnet-4,-0.023529411764705882,0.931073583667659,-0.016666666666666666,0.9646949319332571,5.375,6.59545297913646,13,16
google__gemma-3-27b-it,0.044117647058823525,0.8711220048065985,0.03333333333333333,0.8943512599699821,4.875,6.373774391990981,15,16
mistralai__mistral-medium-3.1,0.047058823529411764,0.8626036946668731,0.049999999999999996,0.8248012387069669,5.625,6.363961030678928,14,16
anthropic__claude-haiku-4.5,0.07941176470588236,0.770025319039825,0.06666666666666667,0.7565550254451803,5.0,6.254998001598402,14,16
openai__gpt-4o,0.08823529411764705,0.7452220943671326,0.06666666666666667,0.7565550254451803,5.375,6.224949798994366,11,16
meta-llama__llama-3.3-70b-instruct,0.1647058823529412,0.5421481352010777,0.13333333333333333,0.505644437997331,4.875,5.958187643906492,11,16
meta-llama__llama-3.1-405b-instruct,0.21176470588235297,0.431083247239221,0.18333333333333335,0.350195287197447,4.25,5.787918451395113,13,16
openai__gpt-4.1,0.21764705882352942,0.41808684161130294,0.16666666666666669,0.39841441604807076,4.75,5.766281297335398,9,16
meta-llama__llama-4-scout,0.2323529411764706,0.38651134990798475,0.19999999999999998,0.3057265481534429,4.875,5.7118298293979315,12,16
meta-llama__llama-3.1-8b-instruct,0.2352941176470588,0.38035580118865675,0.18333333333333335,0.350195287197447,4.0,5.70087712549569,14,16
mistralai__ministral-8b,0.2764705882352941,0.2999421284923735,0.13333333333333333,0.505644437997331,4.25,5.545268253204709,13,16
anthropic__claude-3.7-sonnet,0.29411764705882354,0.268846554622893,0.18333333333333335,0.350195287197447,4.0,5.477225575051661,11,16
qwen__qwen-2.5-72b-instruct,0.40294117647058825,0.121745762952543,0.3,0.11604743302854507,4.125,5.0373604199024715,9,16
openai__gpt-4.1-nano,0.4088235294117647,0.11588783814878352,0.3,0.11604743302854507,3.75,5.0124844139408555,12,16
mistralai__mistral-small-3.1-24b-instruct,0.4323529411764706,0.09442103753478695,0.3,0.11604743302854507,3.875,4.911720676097125,12,16
qwen__qwen3-32b,0.44705882352941173,0.0825369233953715,0.3,0.11604743302854507,4.0,4.847679857416329,11,16
openai__gpt-4.1-mini,0.4558823529411765,0.07594549116741177,0.38333333333333336,0.041261775989402893,3.75,4.808846015417836,10,16
mistralai__ministral-3b,0.4852941176470588,0.05671771428191195,0.31666666666666665,0.09604970873347041,3.875,4.677071733467427,10,16
