model,spearman_rho,spearman_p,kendall_tau,kendall_p,mean_abs_rank_diff,rmse_rank_diff,max_rank_diff,num_values
mistralai__ministral-3b,-0.09705882352941177,0.7206513082372035,-0.08333333333333334,0.6900950405141305,5.625,6.8282501418738315,14,16
qwen__qwen3-32b,-0.02417582417582418,0.9346189946036425,-0.03296703296703297,0.9144846237132943,5.357142857142857,6.442049363362563,11,14
meta-llama__llama-4-maverick,0.07142857142857141,0.8002959873970544,-0.009523809523809525,1.0,5.133333333333334,6.202150164795002,12,15
google__gemma-3-12b-it,0.14411764705882352,0.5943782881736932,0.13333333333333333,0.505644437997331,5.25,6.031169040907409,10,16
meta-llama__llama-4-scout,0.20979020979020982,0.5128409431818263,0.1212121212121212,0.6383612539081289,4.916666666666667,5.993051532121734,11,12
mistralai__mistral-small-3.1-24b-instruct,0.21470588235294116,0.4245592336201027,0.16666666666666669,0.39841441604807076,4.75,5.777110004145672,14,16
google__gemma-3-27b-it,0.23823529411764705,0.37425412972798844,0.16666666666666669,0.39841441604807076,4.125,5.689903338370521,14,16
mistralai__ministral-8b,0.3529411764705882,0.17995865788498183,0.2333333333333333,0.22813365876907285,4.375,5.244044240850758,10,16
google__gemma-3-4b-it,0.4382352941176471,0.08953003199187995,0.33333333333333337,0.07882067848274135,4.125,4.886205071423016,11,16
meta-llama__llama-3.1-8b-instruct,0.44705882352941173,0.0825369233953715,0.33333333333333337,0.07882067848274135,4.0,4.847679857416329,8,16
openai__gpt-4.1-nano,0.4764705882352941,0.062059174189226164,0.33333333333333337,0.07882067848274135,3.5,4.716990566028302,9,16
meta-llama__llama-3.3-70b-instruct,0.5117647058823529,0.04272344816333178,0.38333333333333336,0.041261775989402893,3.0,4.55521678957215,11,16
openai__gpt-4o,0.5323529411764706,0.033768622960234626,0.43333333333333335,0.019780631759408317,3.375,4.458138625031752,8,16
anthropic__claude-sonnet-4,0.5441176470588236,0.029336337481376578,0.3666666666666667,0.05167689542426284,3.5,4.401704215414752,9,16
openai__gpt-4.1-mini,0.5785714285714285,0.02384665876299661,0.40952380952380957,0.03589723736788882,3.7333333333333334,4.226897995772629,7,15
mistralai__mistral-medium-3.1,0.6058823529411764,0.012860298533367195,0.43333333333333335,0.019780631759408317,3.375,4.092676385936225,7,16
anthropic__claude-3.7-sonnet,0.6176470588235293,0.010787984601948835,0.48333333333333334,0.008594667586330635,2.875,4.031128874149275,8,16
anthropic__claude-sonnet-4.5,0.6323529411764706,0.008577584103099355,0.5,0.00635528422852745,3.125,3.952847075210474,8,16
anthropic__claude-haiku-4.5,0.6323529411764706,0.008577584103099355,0.45,0.015155343637698342,3.125,3.952847075210474,8,16
openai__gpt-4.1,0.6823529411764706,0.0035879704117567236,0.5,0.00635528422852745,3.25,3.6742346141747673,7,16
qwen__qwen-2.5-72b-instruct,0.6852941176470588,0.003391561745216595,0.5166666666666667,0.004639144437791718,2.625,3.6571847095819483,9,16
meta-llama__llama-3.1-405b-instruct,0.7470588235294118,0.0008821069929846318,0.5833333333333334,0.001142618041952016,2.5,3.278719262151,7,16
